"estimativa","ic.inf","ic.sup","data"
7.29271458722206,5.77799806505831,9.87661547669932,2020-03-09
6.09321940763227,5.04503216125452,7.68653673011594,2020-03-10
5.28516430478813,4.51680612061805,6.3652525823394,2020-03-11
4.86907221783746,4.24588011964059,5.70418110531303,2020-03-12
4.76157203340534,4.20016269385328,5.49416769717203,2020-03-13
4.66928219796204,4.16257691021953,5.31476095183079,2020-03-14
4.44324719222507,4.01241602184858,4.97639591199406,2020-03-15
4.16824609434535,3.81380591844407,4.59428865851787,2020-03-16
4.15089623366606,3.82437529964564,4.53752083960175,2020-03-17
4.3768127504102,4.04097704414222,4.77276103016085,2020-03-18
4.82513736520395,4.44771581545974,5.27182087288369,2020-03-19
5.02433806207431,4.64355111961727,5.47250255217206,2020-03-20
5.24086459433625,4.85269629869017,5.69593785723372,2020-03-21
5.70565925324909,5.27408796238863,6.21358086547937,2020-03-22
6.17833120634223,5.70218815540576,6.74068174017297,2020-03-23
6.95935448732805,6.39091305061578,7.63822171701661,2020-03-24
7.44913774775265,6.82937286848306,8.192062904809,2020-03-25
8.10080765879887,7.4020504047878,8.94468684233621,2020-03-26
9.27136273833171,8.400359245012,10.3432840624067,2020-03-27
10.3257431141021,9.29091747889209,11.619348376674,2020-03-28
11.4535515316376,10.2299856469069,13.0089021128392,2020-03-29
12.4096435153151,11.0230867515467,14.1945170744306,2020-03-30
13.2579029473235,11.7244788404381,15.2520779309966,2020-03-31
13.2671687093856,11.7680428833419,15.2033311171523,2020-04-01
13.4034751866473,11.9096588640839,15.3251323665739,2020-04-02
14.0423270154764,12.4467424736601,16.1065091090536,2020-04-03
15.0785753843446,13.291275342638,17.4205720468848,2020-04-04
17.0267817851265,14.8256424492159,19.9947348210655,2020-04-05
17.8319487728422,15.4741199570705,21.0367253531992,2020-04-06
18.5009260529468,16.016910122757,21.8960851995359,2020-04-07
18.894740793822,16.3523854254634,22.3724180344726,2020-04-08
19.268463011408,16.6726269933792,22.8209361086395,2020-04-09
18.7217947208032,16.3016396568358,21.9851530385225,2020-04-10
18.9448941047021,16.5087528153478,22.2238281937823,2020-04-11
19.6639756320276,17.0918252699377,23.1467704518425,2020-04-12
20.4885785756814,17.75282571327,24.2204345347628,2020-04-13
21.7544205000286,18.7398888356861,25.9240123395291,2020-04-14
20.7421465854322,18.022787237412,24.4273107371193,2020-04-15
20.5727617666354,17.9332545468253,24.1227568288664,2020-04-16
20.5296142648828,17.9386273182339,23.9948430709976,2020-04-17
20.4742788991272,17.9340114124735,23.8523794383449,2020-04-18
21.3942987944523,18.6756416681274,25.0387681965278,2020-04-19
20.2017278867658,17.7969312019318,23.3574500256499,2020-04-20
20.3067755998743,17.9141222148642,23.4366023289193,2020-04-21
20.888668127357,18.401706197465,24.152407061593,2020-04-22
21.6380512162177,19.0180539421849,25.0947763146002,2020-04-23
23.3539947308546,20.3732923993523,27.3558248825464,2020-04-24
22.9507611556346,20.1031596032987,26.7377201388695,2020-04-25
23.6601489782274,20.6835944955777,27.6369237169304,2020-04-26
24.3987967224748,21.2853277532347,28.5786544697169,2020-04-27
25.6953766775991,22.3064069088461,30.2980618413543,2020-04-28
27.703276144427,23.8475629988995,33.0456880980159,2020-04-29
28.0973643810417,24.1815678812533,33.5258444876621,2020-04-30
26.3306228255088,22.9019101763917,30.9662551205283,2020-05-01
25.4911385511253,22.3004136119547,29.7469117560399,2020-05-02
25.7637452001131,22.5449945427353,30.0542012275982,2020-05-03
27.4390306348586,23.8584322283703,32.2836578277261,2020-05-04
29.7043417153506,25.5983421000981,35.378688650285,2020-05-05
29.9396077001475,25.8135611499141,35.6351098429355,2020-05-06
30.444990058744,26.2301135936629,36.273263567455,2020-05-07
31.614447091127,27.1369439861131,37.8609436172891,2020-05-08
32.8881291014647,28.1141325415354,39.6145439745483,2020-05-09
31.8584998321869,27.4004110618361,38.048661544685,2020-05-10
31.6845472396687,27.3130029030603,37.7216282279386,2020-05-11
31.518012061803,27.2291241686172,37.4101316237857,2020-05-12
32.005608495893,27.6329354566926,38.0218499378058,2020-05-13
34.3131362618423,29.3812810947122,41.23417121912,2020-05-14
36.0342812853092,30.6788418658574,43.6543594868434,2020-05-15
37.5634675137841,31.8268152240205,45.8223102339899,2020-05-16
