"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,15,2.35008204947605,0.437673228851592,1.58399891849238,1.68605758835369,3.12211751274436,2.32235543714441,3.12211751274436,3.12211751274436,3.29933599905829,2020-03-03
9,16,2.49950147698167,0.445347319520824,1.73012279384527,1.83187352509143,3.29196517008344,2.46502167707506,3.29196517008344,3.29196517008344,3.47066392541604,2020-03-04
10,17,2.36072312304244,0.416711458343645,1.65307028572183,1.74342583180853,3.1046894766665,2.3238639467774,3.1046894766665,3.1046894766665,3.27800321177845,2020-03-05
11,18,2.46391521175238,0.412147221831119,1.75795504820724,1.84771369582287,3.20013231901557,2.43074896432666,3.20013231901557,3.20013231901557,3.35399367994043,2020-03-06
12,19,2.45168746631639,0.385096277623102,1.78512512410624,1.8729520667322,3.13204868466599,2.42184879301873,3.13204868466599,3.13204868466599,3.27797788574795,2020-03-07
13,20,2.45557990183797,0.374693167493198,1.81261850437917,1.89529222665881,3.11824512093606,2.42585787620855,3.11824512093606,3.11824512093606,3.2680088871007,2020-03-08
14,21,2.56887183590908,0.37443152805437,1.9311101823673,2.00846826235205,3.23587632256418,2.53882652934231,3.23587632256418,3.23587632256418,3.38050090556464,2020-03-09
15,22,2.6554461714882,0.376584312637875,2.01288836014457,2.09133840812837,3.3264184233665,2.62436684701164,3.3264184233665,3.3264184233665,3.46121820515084,2020-03-10
16,23,2.72724341622683,0.387080081917287,2.07482046602071,2.14847064971898,3.41820819876596,2.69713549531183,3.41820819876596,3.41820819876596,3.55768876552635,2020-03-11
17,24,2.69304633487524,0.38786964690302,2.04434701312112,2.11661630899978,3.37972559920128,2.6620944757108,3.37972559920128,3.37972559920128,3.5224123973183,2020-03-12
18,25,2.68213530950791,0.385502849956299,2.04674677899579,2.12113912993634,3.37141659009493,2.64700629547193,3.37141659009493,3.37141659009493,3.51049436492661,2020-03-13
19,26,2.76543224765099,0.388883661857337,2.1272105772698,2.19431744131084,3.45879330037358,2.72870440965503,3.45879330037358,3.45879330037358,3.60435147229385,2020-03-14
20,27,2.76247881571008,0.385105353432678,2.1283595378405,2.19514230013136,3.44351130729146,2.72788796364641,3.44351130729146,3.44351130729146,3.5920068652769,2020-03-15
